Uniprot	Gene_name	Used_as_a_bait_in_this_study	Number_of_citations (if_the_kinase_is_used_as_a_bait_here)	Family	Family_simple	Subfamily	Primary Reference: http://www.uniprot.org/docs/pkinfam.txt	Primary reference: original Uniprot annotation (as of 160708)	Secondary reference: original Manning annotation (as of 160708)	Notes
P53355	DAPK1	TRUE	206	CAMK Ser/Thr protein kinase family	CAMK	DAP kinase subfamily	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family; DAP kinase subfamily	"CAMK:DAPK:DAPK	"	/
Q9UEE5	DRAK1	FALSE	/	CAMK Ser/Thr protein kinase family	CAMK	DAP kinase subfamily	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family; DAP kinase subfamily	"CAMK:DAPK:DRAK	"	/
Q9UIK4	DAPK2	FALSE	/	CAMK Ser/Thr protein kinase family	CAMK	DAP kinase subfamily	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family; DAP kinase subfamily	"CAMK:DAPK:DAPK	"	/
Q15831	LKB1	TRUE	365	CAMK Ser/Thr protein kinase family	CAMK	LKB1 subfamily	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family; LKB1 subfamily	"CAMK:CAMKL:LKB	"	/
O14757	CHK1	TRUE	427	CAMK Ser/Thr protein kinase family	CAMK	NIM1 subfamily	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family; NIM1 subfamily	"CAMK:CAMKL:CHK1	"	/
P11309	PIM1	TRUE	198	CAMK Ser/Thr protein kinase family	CAMK	PIM subfamily	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family; PIM subfamily	"CAMK:PIM	"	/
Q86V86	PIM3	TRUE	41	CAMK Ser/Thr protein kinase family	CAMK	PIM subfamily	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family; PIM subfamily	"CAMK:PIM	"	/
Q9P1W9	PIM2	TRUE	52	CAMK Ser/Thr protein kinase family	CAMK	PIM subfamily	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family; PIM subfamily	"CAMK:PIM	"	/
O94806	PRKD3	TRUE	56	CAMK Ser/Thr protein kinase family	CAMK	PKD subfamily	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family; PKD subfamily	CAMK : PKD	/
Q15139	PRKD1	FALSE	/	CAMK Ser/Thr protein kinase family	CAMK	PKD subfamily	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family; PKD subfamily	CAMK : PKD	/
Q9BZL6	PRKD2	TRUE	69	CAMK Ser/Thr protein kinase family	CAMK	PKD subfamily	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family; PKD subfamily	CAMK : PKD	/
O60285	NuaK1	TRUE	42	CAMK Ser/Thr protein kinase family	CAMK	SNF1 subfamily	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family; SNF1 subfamily	"CAMK:CAMKL:NuaK	"	/
P27448	MARK3	TRUE	64	CAMK Ser/Thr protein kinase family	CAMK	SNF1 subfamily	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family; SNF1 subfamily	"CAMK:CAMKL:MARK	"	/
P54646	PRKAA2	TRUE	157	CAMK Ser/Thr protein kinase family	CAMK	SNF1 subfamily	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family; SNF1 subfamily	CAMK : CAMKL : AMPK	/
P57058	HUNK	FALSE	/	CAMK Ser/Thr protein kinase family	CAMK	SNF1 subfamily	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family; SNF1 subfamily	"CAMK:CAMKL:HUNK	"	/
Q13131	PRKAA1	TRUE	356	CAMK Ser/Thr protein kinase family	CAMK	SNF1 subfamily	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family; SNF1 subfamily	CAMK : CAMKL : AMPK	/
Q14680	MELK	TRUE	44	CAMK Ser/Thr protein kinase family	CAMK	SNF1 subfamily	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family; SNF1 subfamily	"CAMK:CAMKL:MELK	"	/
Q7KZI7	MARK2	TRUE	91	CAMK Ser/Thr protein kinase family	CAMK	SNF1 subfamily	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family; SNF1 subfamily	"CAMK:CAMKL:MARK	"	/
Q8IWQ3	BRSK2	TRUE	29	CAMK Ser/Thr protein kinase family	CAMK	SNF1 subfamily	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family; SNF1 subfamily	"CAMK:CAMKL:BRSK	"	/
Q8TDC3	BRSK1	TRUE	20	CAMK Ser/Thr protein kinase family	CAMK	SNF1 subfamily	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family; SNF1 subfamily	"CAMK:CAMKL:BRSK	"	/
Q96L34	MARK4	FALSE	/	CAMK Ser/Thr protein kinase family	CAMK	SNF1 subfamily	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family; SNF1 subfamily	"CAMK:CAMKL:MARK	"	/
Q9H093	NuaK2	TRUE	34	CAMK Ser/Thr protein kinase family	CAMK	SNF1 subfamily	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family; SNF1 subfamily	"CAMK:CAMKL:NuaK	"	/
Q9H0K1	QIK	FALSE	/	CAMK Ser/Thr protein kinase family	CAMK	SNF1 subfamily	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family; SNF1 subfamily	"CAMK:CAMKL:QIK	"	/
Q9P0L2	MARK1	FALSE	/	CAMK Ser/Thr protein kinase family	CAMK	SNF1 subfamily	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family; SNF1 subfamily	"CAMK:CAMKL:MARK	"	/
Q9Y2K2	QSK	TRUE	38	CAMK Ser/Thr protein kinase family	CAMK	SNF1 subfamily	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family; SNF1 subfamily	"STE:STE11:MEKK2	"	/
Q92519	Trb2	TRUE	59	CAMK Ser/Thr protein kinase family	CAMK	Tribbles subfamily	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family; Tribbles subfamily	"CAMK:Trbl	"	/
Q96RU7	Trb3	TRUE	101	CAMK Ser/Thr protein kinase family	CAMK	Tribbles subfamily	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family; Tribbles subfamily	"CAMK:Trbl	"	/
Q96RU8	Trb1	TRUE	88	CAMK Ser/Thr protein kinase family	CAMK	Tribbles subfamily	CAMK	Protein kinase superfamily; CAMK Ser/Thr protein kinase family; Tribbles subfamily	"CAMK:Trbl	"	/
P48729	CSNK1A1	TRUE	137	CK1 Ser/Thr protein kinase family	CK	Casein kinase I subfamily	CK1	Protein kinase superfamily; CK1 Ser/Thr protein kinase family; Casein kinase I subfamily	CK1 : CK1 : CK1-A	/
P48730	CSNK1D	TRUE	112	CK1 Ser/Thr protein kinase family	CK	Casein kinase I subfamily	CK1	Protein kinase superfamily; CK1 Ser/Thr protein kinase family; Casein kinase I subfamily	CK1 : CK1 : CK1-D	/
P49674	CSNK1E	TRUE	287	CK1 Ser/Thr protein kinase family	CK	Casein kinase I subfamily	CK1	Protein kinase superfamily; CK1 Ser/Thr protein kinase family; Casein kinase I subfamily	CK1 : CK1 : CK1-D	/
P78368	CK1g2	TRUE	26	CK1 Ser/Thr protein kinase family	CK	Casein kinase I subfamily	CK1	Protein kinase superfamily; CK1 Ser/Thr protein kinase family; Casein kinase I subfamily	"CK1:CK1:CK1-G	"	/
Q8N752	CSNK1A1L	FALSE	/	CK1 Ser/Thr protein kinase family	CK	Casein kinase I subfamily	CK1	Protein kinase superfamily; CK1 Ser/Thr protein kinase family; Casein kinase I subfamily	CK1 : CK1 : CK1-A	/
Q9HCP0	CSNK1G1	TRUE	24	CK1 Ser/Thr protein kinase family	CK	Casein kinase I subfamily	CK1	Protein kinase superfamily; CK1 Ser/Thr protein kinase family; Casein kinase I subfamily	CK1 : CK1 : CK1-G	/
Q9Y6M4	CSNK1G3	TRUE	23	CK1 Ser/Thr protein kinase family	CK	Casein kinase I subfamily	CK1	Protein kinase superfamily; CK1 Ser/Thr protein kinase family; Casein kinase I subfamily	CK1 : CK1 : CK1-G	/
Q5TCY1	TTBK1	FALSE	/	CK1 Ser/Thr protein kinase family	CK	Manning: TTBK	CK1	Protein kinase superfamily; CK1 Ser/Thr protein kinase family	"CK1:TTBK	"	/
Q6IQ55	TTBK2	FALSE	/	CK1 Ser/Thr protein kinase family	CK	Manning: TTBK	CK1	Protein kinase superfamily; CK1 Ser/Thr protein kinase family	"CK1:TTBK	"	/
Q86Y07	VRK2	FALSE	/	CK1 Ser/Thr protein kinase family	CK	VRK subfamily	CK1	Protein kinase superfamily; CK1 Ser/Thr protein kinase family; VRK subfamily	"CK1:VRK	"	/
Q8IV63	VRK3	TRUE	17	CK1 Ser/Thr protein kinase family	CK	VRK subfamily	CK1	Protein kinase superfamily; CK1 Ser/Thr protein kinase family; VRK subfamily	"CK1:VRK	"	/
Q99986	VRK1	TRUE	60	CK1 Ser/Thr protein kinase family	CK	VRK subfamily	CK1	Protein kinase superfamily; CK1 Ser/Thr protein kinase family; VRK subfamily	"CK1:VRK	"	/
Q13523	PRPF4B	FALSE	/	CMGC Ser/Thr protein kinase family	CMGC	Manning: DYRK	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family	CMGC : DYRK : PRP4	/
P78362	SRPK2	TRUE	55	CMGC Ser/Thr protein kinase family	CMGC	Manning: SRPK	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family	"CMGC:SRPK	"	/
Q96SB4	SRPK1	TRUE	106	CMGC Ser/Thr protein kinase family	CMGC	Manning: SRPK	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family	"CMGC:SRPK	"	/
Q9UPE1	MSSK1	TRUE	11	CMGC Ser/Thr protein kinase family	CMGC	Manning: SRPK	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family	"CMGC:SRPK	"	/
O76039	CDKL5	TRUE	79	CMGC Ser/Thr protein kinase family	CMGC	CDC2/CDKX subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; CDC2/CDKX subfamily	"CMGC:CDKL	"	/
O94921	CDK14	FALSE	/	CMGC Ser/Thr protein kinase family	CMGC	CDC2/CDKX subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; CDC2/CDKX subfamily	CMGC:CDK:PFTAIRE	/
P06493	CDC2	TRUE	734	CMGC Ser/Thr protein kinase family	CMGC	CDC2/CDKX subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; CDC2/CDKX subfamily	"CMGC:CDK:CDC2	"	/
P11802	CDK4	TRUE	454	CMGC Ser/Thr protein kinase family	CMGC	CDC2/CDKX subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; CDC2/CDKX subfamily	"CMGC:CDK:CDK4	"	/
P20794	MAK	TRUE	30	CMGC Ser/Thr protein kinase family	CMGC	CDC2/CDKX subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; CDC2/CDKX subfamily	"CMGC:RCK:MAK	"	/
P21127	CDK11b	FALSE	/	CMGC Ser/Thr protein kinase family	CMGC	CDC2/CDKX subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; CDC2/CDKX subfamily	"CMGC:CDK:CDK11	"	/
P24941	CDK2	FALSE	/	CMGC Ser/Thr protein kinase family	CMGC	CDC2/CDKX subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; CDC2/CDKX subfamily	"CMGC:CDK:CDK2	"	/
P49336	CDK8	TRUE	108	CMGC Ser/Thr protein kinase family	CMGC	CDC2/CDKX subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; CDC2/CDKX subfamily	"CMGC:CDK:CDK8	"	/
P50613	CDK7	TRUE	166	CMGC Ser/Thr protein kinase family	CMGC	CDC2/CDKX subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; CDC2/CDKX subfamily	"CMGC:CDK:CDK7	"	/
P50750	CDK9	TRUE	386	CMGC Ser/Thr protein kinase family	CMGC	CDC2/CDKX subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; CDC2/CDKX subfamily	"CMGC:CDK:CDK9	"	/
Q00526	CDK3	FALSE	/	CMGC Ser/Thr protein kinase family	CMGC	CDC2/CDKX subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; CDC2/CDKX subfamily	"CMGC:CDK:CDK2	"	/
Q00532	CDKL1	TRUE	18	CMGC Ser/Thr protein kinase family	CMGC	CDC2/CDKX subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; CDC2/CDKX subfamily	"CMGC:CDKL	"	/
Q00534	CDK6	TRUE	268	CMGC Ser/Thr protein kinase family	CMGC	CDC2/CDKX subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; CDC2/CDKX subfamily	"CMGC:CDK:CDK4	"	/
Q00535	CDK5	TRUE	308	CMGC Ser/Thr protein kinase family	CMGC	CDC2/CDKX subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; CDC2/CDKX subfamily	"CMGC:CDK:CDK5	"	/
Q00536	PCTAIRE1	TRUE	55	CMGC Ser/Thr protein kinase family	CMGC	CDC2/CDKX subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; CDC2/CDKX subfamily	"CMGC:CDK:PCTAIRE	"	/
Q00537	PCTAIRE2	TRUE	29	CMGC Ser/Thr protein kinase family	CMGC	CDC2/CDKX subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; CDC2/CDKX subfamily	"CMGC:CDK:PCTAIRE	"	/
Q07002	PCTAIRE3	TRUE	34	CMGC Ser/Thr protein kinase family	CMGC	CDC2/CDKX subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; CDC2/CDKX subfamily	"CMGC:CDK:PCTAIRE	"	/
Q14004	CHED	TRUE	43	CMGC Ser/Thr protein kinase family	CMGC	CDC2/CDKX subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; CDC2/CDKX subfamily	"CMGC:CDK:CRK7	"	/
Q15131	CDK10	TRUE	38	CMGC Ser/Thr protein kinase family	CMGC	CDC2/CDKX subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; CDC2/CDKX subfamily	"CMGC:CDK:CDK10	"	/
Q5MAI5	CDKL4	FALSE	/	CMGC Ser/Thr protein kinase family	CMGC	CDC2/CDKX subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; CDC2/CDKX subfamily	"CMGC:CDKL	"	/
Q8IVW4	CDKL3	TRUE	17	CMGC Ser/Thr protein kinase family	CMGC	CDC2/CDKX subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; CDC2/CDKX subfamily	"CMGC:CDKL	"	/
Q8IZL9	CCRK	TRUE	23	CMGC Ser/Thr protein kinase family	CMGC	CDC2/CDKX subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; CDC2/CDKX subfamily	"CMGC:CDK:CCRK	"	/
Q92772	CDKL2	TRUE	16	CMGC Ser/Thr protein kinase family	CMGC	CDC2/CDKX subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; CDC2/CDKX subfamily	"CMGC:CDKL	"	/
Q96Q40	CDK15	FALSE	/	CMGC Ser/Thr protein kinase family	CMGC	CDC2/CDKX subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; CDC2/CDKX subfamily	not found	/
Q9BWU1	CDK19	TRUE	27	CMGC Ser/Thr protein kinase family	CMGC	CDC2/CDKX subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; CDC2/CDKX subfamily	"CMGC:CDK:CDK8	"	/
Q9NYV4	CRK7	FALSE	/	CMGC Ser/Thr protein kinase family	CMGC	CDC2/CDKX subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; CDC2/CDKX subfamily	"CMGC:CDK:CRK7	"	/
Q9UPZ9	ICK	TRUE	30	CMGC Ser/Thr protein kinase family	CMGC	CDC2/CDKX subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; CDC2/CDKX subfamily	"CMGC:RCK:MAK	"	/
Q9UQ07	MOK	FALSE	/	CMGC Ser/Thr protein kinase family	CMGC	CDC2/CDKX subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; CDC2/CDKX subfamily	"CMGC:RCK:MOK	"	/
Q9UQ88	CDK11a	TRUE	58	CMGC Ser/Thr protein kinase family	CMGC	CDC2/CDKX subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; CDC2/CDKX subfamily	"CMGC:CDK:CDK11	"	/
P49840	GSK3A	FALSE	/	CMGC Ser/Thr protein kinase family	CMGC	GSK-3 subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; GSK-3 subfamily	"CMGC:GSK	"	/
P49841	GSK3B	TRUE	1055	CMGC Ser/Thr protein kinase family	CMGC	GSK-3 subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; GSK-3 subfamily	"CMGC:GSK	"	/
Q86Z02	HIPK1	FALSE	/	CMGC Ser/Thr protein kinase family	CMGC	HIPK subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; HIPK subfamily	"CMGC:DYRK:HIPK	"	/
Q8NE63	HIPK4	TRUE	11	CMGC Ser/Thr protein kinase family	CMGC	HIPK subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; HIPK subfamily	"CMGC:DYRK:HIPK	"	/
Q9H2X6	HIPK2	FALSE	/	CMGC Ser/Thr protein kinase family	CMGC	HIPK subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; HIPK subfamily	"CMGC:DYRK:HIPK	"	/
Q9H422	HIPK3	FALSE	/	CMGC Ser/Thr protein kinase family	CMGC	HIPK subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; HIPK subfamily	"CMGC:DYRK:HIPK	"	/
P49759	CLK1	TRUE	45	CMGC Ser/Thr protein kinase family	CMGC	Lammer subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; Lammer subfamily	"CMGC:CLK	"	/
P49760	CLK2	TRUE	41	CMGC Ser/Thr protein kinase family	CMGC	Lammer subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; Lammer subfamily	"CMGC:CLK	"	/
P49761	CLK3	TRUE	36	CMGC Ser/Thr protein kinase family	CMGC	Lammer subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; Lammer subfamily	"CMGC:CLK	"	/
Q9HAZ1	CLK4	TRUE	16	CMGC Ser/Thr protein kinase family	CMGC	Lammer subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; Lammer subfamily	"CMGC:CLK	"	/
O15264	MAPK13	TRUE	73	CMGC Ser/Thr protein kinase family	CMGC	MAP kinase subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; MAP kinase subfamily	CMGC : MAPK : p38	/
P27361	Erk1	TRUE	1251	CMGC Ser/Thr protein kinase family	CMGC	MAP kinase subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; MAP kinase subfamily	"CMGC:MAPK:ERK1	"	/
P28482	Erk2	TRUE	1844	CMGC Ser/Thr protein kinase family	CMGC	MAP kinase subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; MAP kinase subfamily	"CMGC:MAPK:ERK1	"	/
P31152	Erk4	TRUE	22	CMGC Ser/Thr protein kinase family	CMGC	MAP kinase subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; MAP kinase subfamily	"CMGC:MAPK:ERK3	"	/
P45983	JNK1	TRUE	896	CMGC Ser/Thr protein kinase family	CMGC	MAP kinase subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; MAP kinase subfamily	"CMGC:MAPK:JNK	"	/
P45984	JNK2	TRUE	230	CMGC Ser/Thr protein kinase family	CMGC	MAP kinase subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; MAP kinase subfamily	"CMGC:MAPK:JNK	"	/
P53778	MAPK12	TRUE	91	CMGC Ser/Thr protein kinase family	CMGC	MAP kinase subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; MAP kinase subfamily	CMGC : MAPK : p38	/
P53779	JNK3	TRUE	101	CMGC Ser/Thr protein kinase family	CMGC	MAP kinase subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; MAP kinase subfamily	"CMGC:MAPK:JNK	"	/
Q13164	Erk5	TRUE	158	CMGC Ser/Thr protein kinase family	CMGC	MAP kinase subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; MAP kinase subfamily	"CMGC:MAPK:ERK5	"	/
Q15759	MAPK11	FALSE	/	CMGC Ser/Thr protein kinase family	CMGC	MAP kinase subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; MAP kinase subfamily	CMGC : MAPK : p38	/
Q16539	MAPK14	TRUE	1202	CMGC Ser/Thr protein kinase family	CMGC	MAP kinase subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; MAP kinase subfamily	CMGC : MAPK : p38	/
Q16659	Erk3	TRUE	37	CMGC Ser/Thr protein kinase family	CMGC	MAP kinase subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; MAP kinase subfamily	"CMGC:MAPK:ERK3	"	/
Q8TD08	Erk7	TRUE	28	CMGC Ser/Thr protein kinase family	CMGC	MAP kinase subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; MAP kinase subfamily	"CMGC:MAPK:ERK7	"	/
Q9UBE8	NLK	FALSE	/	CMGC Ser/Thr protein kinase family	CMGC	MAP kinase subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; MAP kinase subfamily	"CMGC:MAPK:nmo	"	/
O43781	DYRK3	TRUE	16	CMGC Ser/Thr protein kinase family	CMGC	MNB/DYRK subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; MNB/DYRK subfamily	"CMGC:DYRK:DYRK2	"	/
Q13627	DYRK1A	TRUE	153	CMGC Ser/Thr protein kinase family	CMGC	MNB/DYRK subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; MNB/DYRK subfamily	"CMGC:DYRK:DYRK1	"	/
Q92630	DYRK2	TRUE	36	CMGC Ser/Thr protein kinase family	CMGC	MNB/DYRK subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; MNB/DYRK subfamily	"CMGC:DYRK:DYRK2	"	/
Q9NR20	DYRK4	TRUE	17	CMGC Ser/Thr protein kinase family	CMGC	MNB/DYRK subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; MNB/DYRK subfamily	"CMGC:DYRK:DYRK2	"	/
Q9Y463	DYRK1B	TRUE	50	CMGC Ser/Thr protein kinase family	CMGC	MNB/DYRK subfamily	CMGC	Protein kinase superfamily; CMGC Ser/Thr protein kinase family; MNB/DYRK subfamily	CMGC:DYRK:DYRK1	/
P51955	NEK2	FALSE	/	NEK Ser/Thr protein kinase family	NEK	NIMA subfamily	NEK	Protein kinase superfamily; NEK Ser/Thr protein kinase family; NIMA subfamily	"Other:NEK:NEK2	"	/
P51956	NEK3	TRUE	19	NEK Ser/Thr protein kinase family	NEK	NIMA subfamily	NEK	Protein kinase superfamily; NEK Ser/Thr protein kinase family; NIMA subfamily	"Other:NEK:NEK1	"	/
P51957	NEK4	TRUE	23	NEK Ser/Thr protein kinase family	NEK	NIMA subfamily	NEK	Protein kinase superfamily; NEK Ser/Thr protein kinase family; NIMA subfamily	"Other:NEK:NEK4	"	/
Q6P3R8	NEK5	FALSE	/	NEK Ser/Thr protein kinase family	NEK	NIMA subfamily	NEK	Protein kinase superfamily; NEK Ser/Thr protein kinase family; NIMA subfamily	"Other:NEK:NEK1	"	/
Q6ZWH5	NEK10	TRUE	10	NEK Ser/Thr protein kinase family	NEK	NIMA subfamily	NEK	Protein kinase superfamily; NEK Ser/Thr protein kinase family; NIMA subfamily	"Other:NEK:NEK10	"	/
Q86SG6	NEK8	TRUE	26	NEK Ser/Thr protein kinase family	NEK	NIMA subfamily	NEK	Protein kinase superfamily; NEK Ser/Thr protein kinase family; NIMA subfamily	"Other:NEK:NEK8	"	/
Q8NG66	NEK11	TRUE	22	NEK Ser/Thr protein kinase family	NEK	NIMA subfamily	NEK	Protein kinase superfamily; NEK Ser/Thr protein kinase family; NIMA subfamily	"Other:NEK:NEK11	"	/
Q8TD19	NEK9	FALSE	/	NEK Ser/Thr protein kinase family	NEK	NIMA subfamily	NEK	Protein kinase superfamily; NEK Ser/Thr protein kinase family; NIMA subfamily	"Other:NEK:NEK9	"	/
Q8TDX7	NEK7	TRUE	31	NEK Ser/Thr protein kinase family	NEK	NIMA subfamily	NEK	Protein kinase superfamily; NEK Ser/Thr protein kinase family; NIMA subfamily	"Other:NEK:NEK6	"	/
Q96PY6	NEK1	FALSE	/	NEK Ser/Thr protein kinase family	NEK	NIMA subfamily	NEK	Protein kinase superfamily; NEK Ser/Thr protein kinase family; NIMA subfamily	"Other:NEK:NEK1	"	/
Q9HC98	NEK6	TRUE	49	NEK Ser/Thr protein kinase family	NEK	NIMA subfamily	NEK	Protein kinase superfamily; NEK Ser/Thr protein kinase family; NIMA subfamily	"Other:NEK:NEK6	"	/
P11274	BCR	TRUE	393	Atypical	Atypical	Atypical BCR	not found	not found	"Atypical:BCR	"	Reintroduced. Displays serine/threonine kinase activity. To be classified as Atypical according to Manning et al. http://kinase.com/web/current/kinbase/
P42338	PIK3CB	TRUE	168	other	other	other	not found	PI3/PI4-kinase family	not found	Not explicitly described as 'Atypical' moved to 'other' for consistency
O43741	PRKAB2	TRUE	58	Do not consider for classification	Do not consider for classification	Do not consider for classification	not found	In Uniprot; family membership attributed based on sequence similarity	Entry not found	Reintroduced. Annotated as other. Note that in Uniprot is classified as 5'-AMP-activated protein kinase gamma subunit family
P54619	PRKAG1	TRUE	84	Do not consider for classification	Do not consider for classification	Do not consider for classification	not found	In Uniprot; family membership attributed based on sequence similarity	Entry not found	Reintroduced. Annotated as other. Note that in Uniprot is classified as 5'-AMP-activated protein kinase gamma subunit family
Q12792	TWF1	TRUE	34	Do not consider for classification	Do not consider for classification	Do not consider for classification	not found	Actin-binding proteins ADF family; Twinfilin subfamily	not found	"Was thought to have a PTK activity"(Uniprot). 
P49842	G11	TRUE	24	Atypical	Atypical	Atypical STK19 subfamily	not found 	STK19 family	"Atypical:G11	"	Reintroduced. To be classified as Atypical based on Manning 
Q9UGI9	PRKAG3	TRUE	35	Do not consider for classification	Do not consider for classification	Do not consider for classification	not found 	In Uniprot; family membership attributed based on sequence similarity	not found 	Reintroduced. Annotated as other. Note that in Uniprot is classified as 5'-AMP-activated protein kinase gamma subunit family
Q9UGJ0	PRKAG2	TRUE	99	Do not consider for classification	Do not consider for classification	Do not consider for classification	not found 	In Uniprot; family membership attributed based on sequence similarity	not found 	Reintroduced. Annotated as other. 
Q9UJY1	HSPB8	TRUE	93	Do not consider for classification	Do not consider for classification	Do not consider for classification	not found 	Small heat shock protein (HSP20) family	not found	Reinserted as it was reported to have kinase activity in 1 paper and as such true or at least putative kinase. 
